age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,fraud_reported
57,2,2000,1440.68,0,1,0,12,3,25000,0,39,1,0,1,2,4,5,96,8,1,2,0,1,2,5390,980,980,3430,13,0
39,1,1000,1086.21,0,1,3,4,4,68500,-57500,43,2,3,1,4,4,6,161,18,1,0,1,2,0,50490,5610,5610,39270,9,0
47,2,2000,1367.68,0,0,4,5,4,0,0,10,2,1,2,4,4,0,668,13,1,1,0,3,1,55500,5550,11100,38850,8,0
32,2,1000,1215.85,0,1,2,7,0,42900,-90200,1,3,0,1,4,5,2,573,8,1,2,1,1,2,7040,1280,640,5120,9,0
26,0,2000,1191.19,4000000,1,4,4,1,29300,0,42,0,2,2,3,5,4,287,9,3,0,0,1,2,40160,5020,0,35140,3,0
44,0,1000,1594.45,0,1,2,5,0,0,0,35,0,3,2,1,0,1,533,17,2,2,2,3,1,55680,6960,6960,41760,10,0
36,1,2000,1463.07,0,1,4,1,3,0,0,23,3,0,3,4,6,6,438,3,1,0,1,1,1,5300,530,530,4240,7,1
43,2,500,1734.09,0,0,4,0,1,0,0,11,1,0,3,2,6,0,441,6,1,2,0,3,0,5200,650,650,3900,0,0
48,0,500,1411.43,0,1,5,1,3,45100,-32800,15,2,1,0,0,1,5,955,17,1,2,2,1,1,59400,5940,11880,41580,6,0
43,2,2000,1512.58,0,0,1,11,2,47600,0,12,3,0,1,4,4,0,857,7,1,0,1,1,0,2520,280,280,1960,2,0
31,0,2000,1153.35,0,1,6,2,1,0,0,32,3,0,3,4,1,2,282,9,1,1,2,1,2,5760,960,960,3840,11,0
49,2,500,1722.95,0,1,6,13,1,63100,-13800,58,2,2,1,1,6,2,571,3,1,0,2,0,2,76700,7670,7670,61360,11,0
39,1,2000,1281.07,7000000,0,2,10,4,0,0,17,1,0,3,4,1,6,349,6,1,1,0,2,1,5920,740,740,4440,3,0
62,0,500,1011.92,0,1,6,6,5,0,0,45,0,2,0,1,4,5,270,7,3,2,0,3,0,64350,7150,7150,50050,3,0
39,0,2000,1042.26,0,1,3,11,0,0,0,30,0,2,2,0,6,3,555,21,3,1,1,2,0,19080,4240,2120,12720,10,0
43,2,500,1235.1,0,0,5,12,1,66400,-34400,40,2,2,1,4,4,6,913,14,1,1,2,1,1,54400,5440,5440,43520,2,0
32,2,2000,768.91,0,0,1,11,2,0,-39300,56,2,2,2,1,4,1,300,0,1,0,1,0,1,59800,5980,5980,47840,5,1
29,2,500,1301.72,0,1,5,5,0,0,0,55,0,3,0,4,5,6,748,14,3,0,0,3,2,72000,7200,7200,57600,1,0
48,1,500,1451.54,3000000,1,3,0,0,0,0,7,0,3,2,4,4,5,237,13,4,1,2,3,1,65070,7230,14460,43380,8,0
53,1,500,767.14,0,1,0,11,1,25500,-36700,13,1,0,3,4,6,1,256,8,1,1,0,1,1,8800,1760,880,6160,11,0
24,2,2000,1620.89,0,0,2,5,2,0,0,33,3,0,1,4,0,2,847,7,1,1,2,0,1,6120,1020,1020,4080,12,0
37,1,2000,1048.46,0,1,2,8,1,59900,0,4,3,0,3,2,2,1,323,9,1,0,1,2,0,7080,1180,590,5310,4,0
50,2,1000,1538.26,6000000,1,2,11,2,62200,-31400,23,0,3,1,0,1,5,980,12,3,2,2,3,2,34320,8580,4290,21450,13,0
40,2,2000,1217.69,0,0,4,9,5,24000,0,25,0,3,0,3,4,6,912,6,3,0,1,0,0,53460,9720,9720,34020,4,1
33,1,2000,1362.64,5000000,0,3,3,5,0,0,20,2,3,2,3,0,1,260,11,1,2,1,3,0,81360,6780,13560,61020,11,1
43,2,1000,1279.13,0,1,6,2,2,0,0,36,0,3,1,0,0,6,240,5,3,0,1,2,2,81070,7370,14740,58960,1,1
26,0,2000,924.72,0,0,2,6,4,0,0,6,2,1,1,1,1,1,566,14,1,1,2,2,1,63120,5260,10520,47340,1,0
28,2,1000,1019.44,0,1,5,13,1,0,-39700,40,3,0,3,2,0,6,974,17,1,0,2,1,1,7200,1440,720,5040,2,0
46,0,500,1314.6,0,0,4,9,1,24800,0,53,2,2,2,3,6,2,863,0,1,0,2,3,0,70290,12780,6390,51120,10,1
43,2,1000,1515.18,6000000,1,1,8,2,0,0,8,0,3,1,1,4,4,983,21,3,1,1,0,1,60190,9260,9260,41670,2,0
44,2,2000,1649.18,0,1,1,4,2,0,-58600,52,2,1,0,3,1,2,497,18,1,2,1,2,2,61380,11160,5580,44640,6,1
49,2,500,1451.01,0,0,1,7,3,47800,0,51,2,1,1,0,1,6,115,17,1,1,2,2,1,28100,2810,5620,19670,7,0
50,0,1000,978.46,0,0,2,11,0,0,0,34,2,3,2,1,1,2,631,19,1,2,0,0,1,49060,8920,8920,31220,3,0
50,0,500,1198.34,4000000,1,0,11,5,53000,-72500,6,0,3,2,1,1,1,851,17,3,0,1,1,1,57060,6340,6340,44380,8,0
38,1,2000,1003.23,0,0,0,12,1,0,0,16,0,3,0,1,5,0,440,23,3,0,0,3,2,77880,12980,12980,51920,0,0
41,1,2000,1212.0,0,1,5,3,4,24400,-60500,27,2,1,2,0,1,6,754,4,1,2,0,1,2,73500,7350,14700,51450,7,0
52,0,1000,1242.96,7000000,0,2,7,3,0,-37100,52,0,2,1,3,1,5,537,2,2,2,2,0,0,88920,6840,13680,68400,0,0
52,0,1000,1053.02,0,0,0,9,1,0,0,46,2,1,0,3,1,0,708,2,1,0,0,2,1,47630,12990,4330,30310,12,1
53,0,500,1693.63,0,0,4,2,4,0,-64000,47,0,1,2,1,6,2,513,10,3,2,1,3,1,59040,6560,6560,45920,10,0
37,0,1000,2047.59,0,0,4,4,2,0,-67800,8,2,2,1,3,4,1,957,2,1,0,0,3,1,79530,14460,7230,57840,0,0
34,2,1000,1083.72,0,0,2,6,5,65600,-68200,39,2,3,2,3,1,1,278,18,1,1,0,2,2,53680,4880,4880,43920,6,0
46,2,1000,1138.42,6000000,1,3,9,3,36900,-55000,46,2,3,1,4,4,0,477,18,1,1,2,3,2,33550,3050,6100,24400,13,0
42,1,500,1072.62,0,0,5,6,0,39900,-60200,48,0,3,2,3,6,6,288,7,4,0,2,1,2,69100,6910,6910,55280,12,0
35,0,2000,1219.04,0,1,4,5,3,63600,-68700,10,0,2,0,4,2,2,709,19,3,0,2,0,1,79750,14500,14500,50750,9,0
28,1,2000,1371.78,0,1,3,4,2,0,-32500,34,0,1,0,3,3,5,167,10,3,0,0,2,2,53600,5360,10720,37520,1,1
54,1,2000,1506.21,0,1,5,13,4,0,-24400,21,0,3,1,1,1,5,413,16,3,1,1,0,0,76560,12760,6380,57420,9,0
32,1,1000,1058.21,3000000,1,3,2,4,0,0,9,2,1,2,1,1,0,153,17,1,2,1,1,1,41130,4570,4570,31990,4,0
26,0,2000,932.14,0,1,4,11,3,40600,0,9,0,2,2,1,4,1,23,2,3,1,2,3,1,78650,14300,7150,57200,1,1
41,2,2000,1608.34,0,0,0,4,3,33300,-10600,46,2,3,0,3,1,6,820,19,1,0,1,1,0,71060,6460,12920,51680,10,0
37,1,1000,1728.56,0,0,5,4,3,54000,0,38,2,1,1,1,6,4,601,0,1,2,1,1,0,38830,3530,3530,31770,11,0
43,0,1000,1518.46,0,0,4,1,3,0,0,25,2,1,0,1,4,5,130,16,1,0,0,0,2,53500,5350,5350,42800,10,0
38,0,2000,1540.19,0,0,1,0,2,0,-74500,31,2,1,0,3,5,1,500,20,1,2,2,0,1,73700,7370,7370,58960,3,1
40,2,2000,965.21,0,0,3,3,2,36900,-53700,32,1,0,3,2,4,2,826,10,1,0,2,1,2,6300,630,630,5040,9,0
36,0,2000,1278.75,0,0,1,12,3,53200,-53800,36,0,2,2,0,1,5,125,21,3,0,2,2,1,65400,10900,10900,43600,4,0
28,2,1000,773.99,0,1,0,1,2,0,-70300,0,3,0,3,2,3,6,592,3,1,2,1,2,1,3200,640,320,2240,8,0
51,1,1000,1532.47,0,0,0,12,2,60300,-24700,18,2,2,0,1,1,0,977,7,1,2,0,3,2,75400,7540,15080,52780,4,1
28,0,1000,1340.56,0,0,3,6,1,0,0,16,2,3,1,1,1,3,898,19,1,2,0,2,2,58140,6460,6460,45220,10,0
44,2,500,1297.75,4000000,0,3,7,3,0,-41400,31,0,2,2,0,4,1,92,15,3,0,0,1,0,98670,15180,15180,68310,3,1
27,0,1000,433.33,0,1,5,6,2,25900,0,1,1,0,1,2,4,2,563,7,1,0,0,3,1,5900,1180,590,4130,8,0
30,1,2000,1025.54,0,0,2,1,2,0,-52600,50,2,2,0,1,0,0,95,19,1,0,1,3,2,64100,6410,6410,51280,3,0
28,2,500,1264.77,0,0,0,13,4,47500,-32500,35,0,2,2,1,4,6,345,13,2,2,0,1,0,55440,5040,10080,40320,11,1
27,2,500,1459.97,5000000,1,4,11,2,0,0,57,0,3,0,4,4,3,446,2,3,1,1,2,1,80850,7350,14700,58800,5,1
40,2,500,1238.65,0,0,2,13,0,0,-44600,26,3,0,3,4,6,6,975,5,1,2,1,1,1,7480,680,680,6120,10,0
61,2,500,1050.76,0,1,6,13,5,41500,-70200,25,2,3,0,1,2,5,867,21,1,0,2,3,1,53640,5960,5960,41720,9,1
23,2,1000,1711.72,0,0,3,12,5,0,0,12,0,2,0,1,4,4,203,21,3,1,2,2,1,63250,5750,11500,46000,3,1
57,0,500,865.33,7000000,0,2,4,3,0,0,13,0,3,0,0,1,2,472,7,3,1,0,1,0,59040,9840,9840,39360,4,0
36,0,500,1153.49,0,1,0,2,2,0,0,52,0,3,2,3,4,0,541,16,3,2,1,0,2,50500,10100,5050,35350,0,0
43,2,2000,1281.25,0,1,0,6,2,0,0,16,2,3,0,4,4,1,778,13,1,2,0,1,1,57690,6410,12820,38460,8,1
40,0,500,1342.8,0,0,4,11,0,0,0,32,3,0,3,4,1,6,581,2,1,2,1,3,2,5940,660,660,4620,12,0
30,2,2000,1443.32,0,0,6,3,4,0,0,6,0,2,0,1,4,3,998,19,3,0,0,2,2,47790,5310,5310,37170,11,1
29,2,1000,1629.94,0,0,5,8,2,0,-47100,32,1,0,3,2,4,5,775,17,1,0,0,1,1,3850,350,350,3150,4,0
31,0,2000,1134.08,0,1,6,7,0,0,0,37,2,1,0,4,0,0,534,3,1,0,2,0,0,59000,5900,5900,47200,5,1
43,2,500,1483.91,8000000,1,1,6,0,0,-33600,17,0,2,0,0,1,0,147,17,3,1,0,1,0,70600,7060,14120,49420,13,1
40,1,2000,1304.67,7000000,1,5,1,2,0,-45000,9,0,3,1,4,4,2,865,5,3,0,1,1,0,61490,5590,11180,44720,4,0
30,0,2000,1035.79,0,0,4,10,5,44400,-51500,29,2,3,1,4,4,3,242,9,1,1,1,0,2,57640,5240,10480,41920,13,0
57,0,500,1401.2,0,0,2,2,3,51500,0,24,3,0,3,4,0,2,611,9,1,1,1,0,1,6890,1060,1060,4770,1,0
45,0,1000,1665.45,0,1,3,6,5,34400,-33100,28,0,3,0,1,3,1,691,9,3,0,2,2,0,53280,11840,5920,35520,12,1
29,1,2000,653.66,0,0,3,5,4,52100,-46900,54,0,2,1,1,4,6,492,22,3,1,0,0,0,78300,15660,7830,54810,2,0
37,2,500,1080.13,0,1,0,10,2,0,-61000,3,0,2,0,0,3,6,526,15,3,2,0,3,1,41490,4610,4610,32270,9,0
36,1,2000,1346.18,0,0,0,6,5,57800,-53300,55,0,1,2,1,4,2,309,14,3,2,2,3,2,68970,12540,6270,50160,3,0
55,2,2000,1589.54,0,1,1,5,0,55400,0,26,0,2,1,4,5,0,939,6,3,0,2,0,2,85300,17060,8530,59710,12,0
40,0,1000,1251.65,0,0,0,7,5,71200,0,49,1,0,1,2,1,2,37,6,1,1,0,0,1,3080,560,280,2240,1,0
47,0,2000,1083.01,0,1,4,2,2,91900,0,30,0,1,0,4,6,0,924,22,4,2,2,0,0,71760,11040,11040,49680,7,1
26,2,500,974.59,0,0,3,1,5,62800,0,17,0,2,1,0,1,0,261,14,3,0,1,0,1,59700,11940,11940,35820,9,0
39,0,2000,1399.85,0,0,5,7,2,49900,-19800,9,0,1,1,1,1,1,103,16,3,1,0,2,0,64920,10820,10820,43280,5,0
43,1,500,1307.74,0,0,0,6,3,0,-75700,27,0,1,0,0,4,5,605,10,3,0,0,1,1,37530,4170,4170,29190,7,0
42,1,2000,1219.27,0,1,0,12,0,53100,-63400,46,0,3,2,0,6,1,21,9,3,2,1,2,1,64080,7120,7120,49840,10,0
41,2,500,1411.3,0,1,6,9,4,55600,0,38,2,2,1,3,3,4,353,4,1,1,1,0,0,60390,10980,5490,43920,2,1
33,0,2000,694.45,0,0,3,1,1,0,0,19,0,3,0,4,6,3,308,6,3,0,0,1,2,64350,5850,11700,46800,9,1
38,0,500,1006.77,6000000,0,1,7,3,0,0,36,0,3,1,4,4,3,715,15,3,2,2,1,2,70900,14180,7090,49630,2,0
39,2,1000,1422.36,0,0,3,2,4,0,-83900,23,0,3,1,1,3,1,465,12,3,1,1,3,0,46560,7760,7760,31040,9,0
33,1,1000,1348.32,0,0,0,2,5,37600,-37600,13,3,0,3,4,1,0,831,3,1,1,2,1,0,4730,860,860,3010,3,1
40,2,2000,1315.56,0,0,6,13,1,0,0,48,3,0,1,4,4,4,751,14,1,2,0,0,2,6820,1240,1240,4340,7,0
58,2,2000,1407.01,5000000,1,6,12,2,47400,-27600,9,2,2,0,4,6,5,290,10,1,0,0,2,0,59900,11980,5990,41930,2,1
36,2,2000,1388.58,0,0,4,8,3,0,-49400,43,0,3,0,4,6,5,171,17,3,0,1,3,2,79560,13260,13260,53040,5,0
33,0,500,1310.76,0,0,2,0,1,0,-40900,47,2,1,2,3,5,4,928,8,1,2,0,1,0,70290,12780,6390,51120,0,0
31,1,1000,1004.63,6000000,1,3,8,1,26900,0,6,0,2,2,0,4,2,266,14,3,2,2,0,1,63910,5810,11620,46480,11,0
40,2,500,1134.91,0,0,0,13,1,68700,0,28,3,0,3,2,4,5,547,6,1,0,1,0,1,6400,640,640,5120,12,0
25,1,1000,1194.0,0,0,3,5,0,0,0,43,2,2,0,0,4,4,337,6,1,2,1,2,2,66780,7420,7420,51940,5,1
39,1,1000,1248.25,4000000,0,1,11,3,0,-33300,31,1,0,1,4,5,4,258,8,1,1,0,2,0,8760,1460,1460,5840,2,0
42,2,500,1338.54,-1000000,1,0,6,5,0,0,28,2,3,0,0,0,0,333,13,1,2,0,1,0,94160,8560,17120,68480,3,0
40,0,2000,782.23,0,1,1,10,2,64200,-32300,36,0,1,2,0,2,6,626,0,3,0,0,2,1,51570,5730,11460,34380,2,0
31,0,2000,1366.9,0,0,2,5,0,0,-15700,27,0,2,0,1,0,3,232,14,3,0,1,0,1,52700,10540,10540,31620,2,1
34,0,1000,1275.81,0,1,2,11,5,0,-48300,20,2,3,1,1,1,1,762,13,1,2,2,2,0,101010,15540,15540,69930,8,0
37,1,500,1090.65,0,1,2,3,4,0,-51800,15,0,2,1,4,0,1,688,16,4,0,1,2,2,53400,5340,5340,42720,6,1
31,1,500,1326.0,0,0,0,9,5,0,-54600,47,2,3,2,1,4,4,209,13,1,0,1,2,1,72120,12020,12020,48080,8,0
43,0,2000,972.47,0,1,1,10,5,0,-58100,31,0,1,1,4,3,2,616,15,3,2,2,2,2,77100,7710,15420,53970,1,0
39,0,500,806.31,0,0,1,5,5,0,0,55,1,0,3,4,4,3,478,3,1,0,2,3,0,3300,600,0,2700,4,0
35,0,500,1416.24,0,0,4,0,1,0,0,56,1,0,1,2,6,3,796,7,1,2,1,0,0,5940,1080,540,4320,9,0
27,1,2000,1097.64,0,1,2,13,2,27100,0,36,0,2,0,3,3,3,10,16,2,1,1,0,0,63720,7080,21240,35400,0,0
43,0,500,947.75,0,0,5,4,1,0,-39300,33,3,0,3,4,4,5,201,15,1,1,1,3,1,7680,1280,640,5760,1,0
31,0,2000,1018.73,5000000,1,0,5,3,20000,-82700,26,0,3,2,4,1,5,836,21,3,2,1,2,0,93730,14420,21630,57680,6,0
44,0,2000,1400.74,0,1,1,11,2,34000,-55600,20,0,2,0,4,0,0,818,23,3,2,0,2,0,87300,17460,17460,52380,7,0
40,0,500,1155.53,5000000,1,3,13,5,0,-35200,23,1,0,3,4,1,1,228,5,1,0,0,2,1,5670,1260,630,3780,5,0
47,1,500,1386.93,0,1,2,8,0,54100,-77600,16,0,2,1,3,1,6,808,15,3,2,0,0,1,65800,13160,6580,46060,0,0
34,2,500,915.29,0,0,3,5,5,82400,-57100,53,2,1,0,3,1,0,470,14,1,0,2,1,2,36720,4080,4080,28560,6,1
29,0,500,1239.55,2000000,0,6,4,3,0,0,8,2,3,0,1,4,5,135,1,1,0,1,1,2,52800,4800,9600,38400,8,1
37,1,500,1366.42,0,0,0,10,4,44000,0,45,0,2,2,1,4,0,645,14,3,1,1,2,2,59100,5910,5910,47280,9,1
37,2,1000,1086.48,6000000,1,0,6,4,0,-53800,15,0,2,2,3,1,4,795,17,3,0,1,1,2,77440,14080,7040,56320,11,0
36,0,2000,1247.87,0,1,5,1,0,0,-39700,13,0,3,2,1,1,3,158,20,3,1,2,2,1,45700,4570,4570,36560,2,0
41,2,2000,1312.75,0,0,6,11,2,81300,0,0,0,2,0,3,4,6,410,10,3,1,2,2,2,80740,7340,14680,58720,12,1
26,1,2000,765.64,0,1,4,11,1,0,-22200,46,0,1,0,0,4,4,673,3,3,0,0,3,0,31350,2850,5700,22800,6,1
33,2,2000,1327.41,0,0,0,5,2,0,-38600,3,2,3,2,3,4,2,769,0,1,0,0,0,0,35000,3500,7000,24500,11,0
59,2,1000,1338.55,0,1,6,10,3,39000,0,11,0,3,2,4,6,2,590,10,3,0,2,2,1,68000,13600,6800,47600,12,0
30,0,2000,1316.63,8000000,0,5,6,4,43900,0,7,0,3,1,3,4,3,274,13,3,2,2,0,0,84500,13000,13000,58500,2,0
42,0,1000,1286.44,0,0,4,13,5,0,-39500,21,2,2,1,4,6,3,214,14,1,1,2,1,0,75500,7550,15100,52850,9,0
46,2,1000,1372.18,0,1,2,3,1,0,0,12,0,3,2,3,6,5,549,22,3,1,1,3,0,90600,15100,15100,60400,2,0
45,1,2000,1447.77,0,0,0,0,5,39400,-63900,17,0,3,2,0,5,3,317,8,3,2,1,1,0,64320,5360,10720,48240,0,0
33,0,500,903.32,0,0,2,13,1,0,0,18,0,2,1,4,1,3,551,1,3,0,1,0,0,31700,6340,3170,22190,12,0
30,1,1000,1454.42,0,1,0,10,2,51600,-73900,30,2,3,0,3,1,6,578,19,1,2,0,1,2,74280,12380,12380,49520,11,1
37,0,2000,1603.42,0,0,2,11,5,61600,-30200,36,2,1,2,1,1,1,33,17,1,2,0,2,2,80520,13420,6710,60390,12,0
30,1,2000,1616.58,0,1,3,0,0,58500,-46800,34,0,2,0,3,4,2,9,13,3,2,0,3,2,63600,6360,12720,44520,4,0
44,0,500,1611.83,0,1,2,5,0,0,0,1,2,1,2,4,6,5,585,4,1,0,1,2,2,32800,3280,3280,26240,2,0
50,2,500,889.13,0,0,5,8,2,0,0,56,0,2,2,4,3,3,402,14,3,1,0,2,1,44190,9820,4910,29460,1,0
26,0,1000,1252.08,0,1,1,3,1,0,0,38,0,2,0,3,5,6,575,4,2,2,2,2,1,50400,10080,5040,35280,6,1
55,0,2000,995.56,0,1,3,12,1,0,-65400,37,0,3,2,4,1,3,27,23,3,2,1,1,2,88400,17680,8840,61880,9,0
49,0,2000,1347.92,0,0,2,4,3,0,-42100,47,0,1,2,1,1,2,550,21,3,2,0,2,0,66550,12100,6050,48400,13,0
47,1,1000,1724.09,0,1,6,2,3,0,0,11,0,2,1,4,1,0,881,23,3,2,0,0,0,65780,5980,11960,47840,3,0
40,1,500,1379.93,0,1,4,1,0,0,0,31,0,3,0,3,1,1,335,6,3,0,0,2,2,51810,9420,4710,37680,1,1
31,1,1000,1554.64,4000000,1,6,10,3,0,-27900,33,2,1,0,3,6,6,50,21,1,1,1,0,1,55660,5060,10120,40480,6,1
28,2,1000,1377.94,0,1,5,6,1,0,0,51,2,3,0,1,1,6,367,23,1,0,2,3,0,44640,9920,4960,29760,12,0
46,0,2000,1313.33,0,0,6,13,0,53500,-73600,8,0,1,0,0,1,5,379,3,3,0,1,3,1,77660,7060,14120,56480,9,1
25,1,500,1259.02,0,0,3,12,4,67000,-53600,46,1,0,3,2,4,3,729,8,1,1,2,2,0,5640,940,940,3760,9,0
26,0,1000,1371.88,0,0,4,9,0,0,0,34,1,0,3,2,5,0,800,4,1,0,2,2,0,3190,580,580,2030,11,0
30,2,500,1399.27,6000000,1,1,9,5,38900,-48700,54,2,3,2,1,0,0,942,22,1,0,0,0,2,53440,0,6680,46760,5,0
31,0,1000,1061.98,6000000,0,3,1,4,0,0,31,2,2,1,4,6,2,313,16,1,1,0,1,2,65250,7250,7250,50750,2,0
39,2,500,1365.46,4000000,1,1,1,4,0,-56600,35,0,3,1,1,4,1,57,14,3,1,2,1,1,44280,4920,4920,34440,3,0
37,0,1000,894.4,0,1,0,12,5,0,-53700,6,2,2,2,4,1,6,150,13,1,2,2,0,1,70290,7810,7810,54670,4,0
30,1,500,956.69,0,0,0,8,0,39600,-64300,36,2,1,1,3,1,2,654,20,1,0,1,1,2,87100,8710,8710,69680,10,0
35,1,2000,1123.89,0,1,4,8,4,35400,-49200,20,0,1,2,1,1,1,350,0,3,0,1,3,0,50380,4580,4580,41220,11,0
45,0,500,1085.03,0,0,3,11,5,0,-61000,59,0,3,2,4,5,0,372,23,3,2,2,2,1,64800,12960,6480,45360,1,1
42,2,2000,1437.33,0,0,0,2,5,25000,0,54,2,2,1,3,4,1,4,13,1,2,1,3,1,70400,12800,12800,44800,2,0
26,0,1000,988.29,0,1,1,1,3,0,0,32,2,2,0,4,1,3,810,8,1,0,2,2,2,57860,0,10520,47340,11,1
47,0,500,1238.89,0,1,5,10,2,0,0,30,3,0,1,2,6,3,916,3,1,0,0,3,1,6240,960,960,4320,5,0
38,1,1000,1384.64,5000000,0,0,12,4,0,0,8,2,2,2,4,5,1,528,16,1,0,2,3,1,66600,16650,11100,38850,7,1
28,1,2000,1595.07,0,1,6,13,4,75800,0,53,2,3,1,4,5,2,667,19,1,2,0,2,2,70920,11820,11820,47280,7,0
56,2,1000,1127.89,6000000,1,0,6,3,67400,-43800,27,2,2,1,0,6,6,512,0,1,2,2,0,2,39480,6580,6580,26320,11,0
43,1,2000,929.7,6000000,0,6,5,0,46400,-74300,13,2,1,2,3,5,0,316,12,1,0,2,2,2,63240,10540,5270,47430,8,0
34,0,1000,1829.63,0,1,3,12,1,56700,0,33,0,3,2,3,4,0,35,21,3,2,1,0,0,67650,12300,6150,49200,1,0
39,0,1000,904.7,7000000,0,4,2,4,68600,-22300,47,2,1,0,1,4,5,718,0,1,0,1,3,1,74200,14840,14840,44520,0,1
43,2,1000,1243.84,0,0,3,12,3,47900,-73400,29,2,3,1,3,5,1,525,22,1,2,1,3,1,64900,12980,12980,38940,13,0
44,0,2000,1030.95,0,0,0,6,2,47200,0,33,0,2,0,0,0,3,200,20,3,0,1,0,1,35900,7180,3590,25130,1,1
26,1,500,1285.03,3000000,0,2,2,4,0,-41500,33,2,2,1,1,5,5,884,0,1,1,1,3,0,52200,5220,10440,36540,6,0
57,2,500,1216.56,0,1,5,0,3,67400,-83200,30,2,1,1,4,4,2,15,20,1,0,0,2,1,78000,6500,13000,58500,11,0
27,1,2000,966.26,0,0,2,0,3,56400,-32800,36,0,1,1,0,1,6,661,1,3,2,0,0,0,67200,6720,6720,53760,13,0
43,2,500,1203.17,0,0,4,9,4,56700,-65600,36,2,2,2,1,6,2,870,11,1,1,0,0,0,63250,11500,5750,46000,9,0
37,0,2000,1212.12,0,0,4,2,1,65600,0,28,0,3,0,3,6,1,839,14,3,2,1,1,2,68760,11460,5730,51570,5,0
28,2,1000,1573.93,0,1,1,7,2,30400,0,6,0,3,1,4,1,6,941,20,3,2,0,2,0,65040,10840,10840,43360,11,0
33,0,1000,1609.67,0,1,1,0,5,0,-13200,19,2,3,0,0,4,6,434,22,1,0,1,3,0,82800,20700,13800,48300,7,1
44,2,500,1097.57,0,1,6,8,4,0,0,58,2,3,2,3,4,1,377,12,1,1,1,0,2,61700,6170,6170,49360,10,0
61,1,2000,1618.65,2000000,0,0,13,4,0,-42600,34,0,2,0,0,2,1,175,3,3,2,2,1,2,78100,15620,7810,54670,3,1
24,1,500,922.67,0,0,1,8,2,47400,0,11,0,2,0,0,4,3,211,15,3,2,2,1,0,65520,9360,9360,46800,12,1
30,1,1000,1342.02,0,1,4,9,3,0,0,58,1,0,3,2,5,0,587,8,1,2,0,2,1,4500,450,450,3600,10,0
41,2,500,1195.01,0,0,0,11,3,60700,-54300,7,0,3,0,3,6,3,60,13,3,1,0,2,0,42700,0,6100,36600,8,1
46,2,1000,994.74,0,0,2,0,3,0,-55300,24,1,0,1,4,4,2,102,8,1,1,2,2,2,5580,620,620,4340,13,1
31,1,1000,1050.24,0,0,5,0,5,30700,0,56,1,0,1,2,0,0,496,7,1,0,0,0,1,3600,360,720,2520,2,1
36,0,2000,1313.51,7000000,0,5,3,3,68500,0,33,3,0,3,2,4,4,873,9,1,0,2,0,0,2800,280,280,2240,13,0
47,2,2000,1102.29,0,0,0,0,3,73000,-37900,30,2,1,1,0,5,3,188,15,1,1,1,0,2,54000,6000,6000,42000,12,0
19,1,1000,1185.78,0,0,3,2,5,0,-60700,31,2,3,1,4,0,3,995,5,1,0,0,2,0,48950,4450,8900,35600,0,1
47,0,500,1527.95,0,1,6,3,2,69400,0,51,0,2,0,3,6,3,351,15,4,2,0,1,0,77800,15560,15560,46680,4,0
57,1,1000,1366.39,0,1,2,10,2,0,-22400,29,0,1,0,3,0,1,686,22,3,2,2,1,1,52560,11680,5840,35040,10,0
41,2,1000,1403.9,0,0,6,4,3,0,0,30,0,3,2,4,5,5,903,16,2,0,1,2,2,44110,4010,8020,32080,6,0
30,0,2000,927.23,0,0,6,11,0,51500,0,12,2,1,2,3,4,2,926,7,1,1,1,3,0,74360,13520,6760,54080,11,0
31,2,2000,1554.86,6000000,0,3,1,5,59000,0,46,1,0,1,2,6,0,399,2,1,2,1,2,0,6120,680,680,4760,6,1
53,0,2000,736.07,6000000,1,1,13,4,45700,0,34,0,3,1,4,4,3,649,17,4,0,0,0,2,62280,5190,10380,46710,11,0
44,0,1000,974.16,6000000,0,5,11,2,0,-56800,37,0,1,2,3,1,6,739,12,3,0,1,0,2,26730,4860,4860,17010,13,0
29,2,500,973.8,0,0,0,2,3,0,-85900,15,2,2,0,0,6,0,910,9,1,0,1,0,1,66200,6620,6620,52960,4,0
26,2,2000,1260.32,6000000,1,3,7,1,0,-79800,58,2,3,2,1,5,4,144,16,1,0,1,2,0,45500,9100,4550,31850,12,0
41,1,1000,1464.03,0,1,3,13,3,0,0,38,0,3,1,0,1,6,100,19,3,0,2,0,0,53040,4420,4420,44200,1,0
32,2,2000,617.11,0,1,1,7,2,0,-54100,1,0,1,0,3,5,1,634,14,3,0,1,2,1,50800,10160,5080,35560,8,1
41,1,2000,1724.46,6000000,0,0,2,3,81800,0,12,0,3,2,4,4,3,110,18,3,0,1,3,0,44200,4420,4420,35360,1,0
34,0,500,1161.31,0,0,6,3,2,64800,-24300,6,2,1,1,4,4,6,80,23,1,2,1,3,0,62920,11440,5720,45760,3,0
29,2,2000,1091.73,0,1,6,3,1,36100,-42300,4,0,2,1,3,1,6,606,15,3,0,0,2,2,49950,5550,5550,38850,9,1
